Net,Source,Interface,Destination,Notes
X_STEP,CN10-29/D32/PA0,U1 74AHCT244,RAMPS D54/A0,5V logic output
X_DIR,CN10-19/D28/PD13,U1 74AHCT244,RAMPS D55/A1,5V logic output
X_ENABLE,CN10-21/D29/PD12,U1 74AHCT244,RAMPS D38,5V logic output
Y_STEP,CN10-31/D33/PB0,U1 74AHCT244,RAMPS D60/A6,5V logic output
Y_DIR,CN10-23/D30/PD11,U1 74AHCT244,RAMPS D61/A7,5V logic output
Y_ENABLE,CN10-25/D31/PE2,U1 74AHCT244,RAMPS D56/A2,5V logic output
Z_STEP,CN10-32/D36/PB10,U2 74AHCT244,RAMPS D46,5V logic output
Z_DIR,CN10-33/D34/PE0,U2 74AHCT244,RAMPS D48,5V logic output
Z_ENABLE,CN10-30/D37/PE15,U2 74AHCT244,RAMPS D62/A8,5V logic output
E0_STEP,CN10-34/D35/PB11,U2 74AHCT244,RAMPS D26,5V logic output
E0_DIR,CN10-28/D38/PE14,U2 74AHCT244,RAMPS D28,5V logic output
E0_ENABLE,CN10-26/D39/PE12,U2 74AHCT244,RAMPS D24,5V logic output
E1_STEP,CN10-24/D40/PE10,U3 74AHCT244,RAMPS D36,5V logic output
E1_DIR,CN10-20/D41/PE7,U3 74AHCT244,RAMPS D34,5V logic output
E1_ENABLE,CN10-18/D42/PE8,U3 74AHCT244,RAMPS D30,5V logic output
HOTEND,CN7-16/D10/PD14,U3 74AHCT244,RAMPS D10,5V PWM logic output
FAN,CN7-18/D9/PD15,U3 74AHCT244,RAMPS D9,5V PWM logic output
BED,CN10-4/D6/PE9,U3 74AHCT244,RAMPS D8,5V PWM logic output
X_MIN,RAMPS D3,U4 74LVC541A,CN8-2/D43/PC8,5V-tolerant input buffer to 3V3
X_MAX,RAMPS D2,U4 74LVC541A,CN8-4/D44/PC9,5V-tolerant input buffer to 3V3
Y_MIN,RAMPS D14,U4 74LVC541A,CN8-6/D45/PC10,5V-tolerant input buffer to 3V3
Y_MAX,RAMPS D15,U4 74LVC541A,CN8-8/D46/PC11,5V-tolerant input buffer to 3V3
Z_MIN,RAMPS D18,U4 74LVC541A,CN8-10/D47/PC12,5V-tolerant input buffer to 3V3
Z_MAX,RAMPS D19,U4 74LVC541A,CN8-12/D48/PD2,5V-tolerant input buffer to 3V3
TEMP0,RAMPS A13,100k series + 200k to GND + 100nF,CN9-1/A0/PA3,ADC attenuation 2/3
TEMP1,RAMPS A15,100k series + 200k to GND + 100nF,CN9-3/A1/PC0,ADC attenuation 2/3
TEMP_BED,RAMPS A14,100k series + 200k to GND + 100nF,CN9-5/A2/PC3,ADC attenuation 2/3
+5V_RAMPS_LOGIC,RAMPS 5V,local bulk/decoupling,U1/U2/U3 VCC,do not connect to NUCLEO 5V
+3V3_NUCLEO,CN8-7,local bulk/decoupling,U4 VCC,NUCLEO logic domain
GND_COMMON,RAMPS GND,direct,CN8-11/CN8-13/CN10-5/17/22,common reference only
