Signal,RAMPS,NUCLEO_Zio,STM32,Physical_Pin,Direction
X_STEP,RAMPS A0/D54,D32,PA0,CN7-25,OUT
X_DIR,RAMPS A1/D55,D28,PD13,CN7-20,OUT
X_EN,RAMPS D38,D29,PD12,CN7-21,OUT
Y_STEP,RAMPS A6/D60,D33,PB0,CN7-26,OUT
Y_DIR,RAMPS A7/D61,D30,PD11,CN7-22,OUT
Y_EN,RAMPS A2/D56,D31,PE2,CN7-23,OUT
Z_STEP,RAMPS D46,D36,PB10,CN7-29,OUT
Z_DIR,RAMPS D48,D34,PE0,CN7-27,OUT
Z_EN,RAMPS A8/D62,D37,PE15,CN7-30,OUT
E0_STEP,RAMPS D26,D35,PB7,CN7-28,OUT
E0_DIR,RAMPS D28,D38,PE14,CN7-32,OUT
E0_EN,RAMPS D24,D39,PE12,CN7-33,OUT
E1_STEP,RAMPS D36,D40,PE10,CN7-34,OUT
E1_DIR,RAMPS D34,D41,PE8,CN7-35,OUT
E1_EN,RAMPS D30,D42,PE7,CN10-10,OUT
HOTEND,RAMPS D10,D10,PD14,CN7-37,OUT
FAN,RAMPS D9,D9,PD15,CN7-38,OUT
BED,RAMPS D8,D8,PF12,CN7-39,OUT
X_MIN,RAMPS D3,D43,PC8,CN8-2,IN
X_MAX,RAMPS D2,D44,PC9,CN8-4,IN
Y_MIN,RAMPS D14,D45,PC10,CN8-6,IN
Y_MAX,RAMPS D15,D46,PC11,CN8-8,IN
Z_MIN,RAMPS D18,D47,PC12,CN8-10,IN
Z_MAX,RAMPS D19,D48,PD2,CN8-12,IN
TEMP0,RAMPS A13,A0,PA3,CN9-1,ADC
TEMP1,RAMPS A15,A1,PC0,CN9-3,ADC
TEMP_BED,RAMPS A14,A2,PC3,CN9-5,ADC
