Signal,RAMPS_pad,NUCLEO_connector,NUCLEO_pin,Type
X_STEP,A0,CN7,25,OUT
X_DIR,A1,CN7,20,OUT
X_EN,D38,CN7,21,OUT
Y_STEP,A6,CN7,26,OUT
Y_DIR,A7,CN7,22,OUT
Y_EN,A2,CN7,23,OUT
Z_STEP,D46,CN7,29,OUT
Z_DIR,D48,CN7,27,OUT
Z_EN,A8,CN7,30,OUT
E0_STEP,D26,CN7,28,OUT
E0_DIR,D28,CN7,32,OUT
E0_EN,D24,CN7,33,OUT
E1_STEP,D36,CN7,34,OUT
E1_DIR,D34,CN7,35,OUT
E1_EN,D30,CN10,10,OUT
HOTEND,D10,CN7,37,OUT
FAN,D9,CN7,38,OUT
BED,D8,CN7,39,OUT
X_MIN,D3,CN8,2,IN
X_MAX,D2,CN8,4,IN
Y_MIN,D14,CN8,6,IN
Y_MAX,D15,CN8,8,IN
Z_MIN,D18,CN8,10,IN
Z_MAX,D19,CN8,12,IN
TEMP0,A13,CN9,1,ADC
TEMP1,A15,CN9,3,ADC
TEMP_BED,A14,CN9,5,ADC
